Item,Price (UYU)
Cookware pots and pans set,2700
Dishes (10 units),510
Electric shower,2500
"Forks, knives and spoons (6 units)",360
Fridge,15600
Glasses (6 units),160
Induction cooktop cooker (1 mouth),5600
Kitchen cabinet,3600
Mattress,2400
Mattress base,2500
Microwave,5000
Washing machine,12220
