Município;Classificação de % em relação a população geral;% em relação a população geral;Doses Aplicadas - D1;População
MIRASSOL;324;16,36734491;9870;60303
SALTO GRANDE;325;16,34985049;1531;9364
CORUMBATAÍ;326;16,33858268;664;4064
CHAVANTES;327;16,3230794;2027;12418
AMERICANA;328;16,32151328;39501;242018
CACHOEIRA PAULISTA;329;16,29195081;5471;33581
JACI;330;16,27292941;1171;7196
CAMPOS NOVOS PAULISTA;331;16,24974985;812;4997
JUNDIAÍ;332;16,22813861;68646;423006
IRAPUÃ;333;16,2027833;1304;8048
ELISIÁRIO;334;16,14822829;597;3697
PORTO FERREIRA;335;16,14222002;9121;56504
CASA BRANCA;336;16,13368283;4924;30520
JOSÉ BONIFÁCIO;337;16,11357919;6021;37366
BATATAIS;338;16,11146396;10147;62980
CATIGUÁ;339;16,10439211;1265;7855
PARAIBUNA;340;16,09812189;2940;18263
PARDINHO;341;16,07252612;1046;6508
CERQUEIRA CÉSAR;342;16,06656431;3244;20191
GUARATINGUETÁ;343;16,03363128;19642;122505
VIRADOURO;344;16,03302309;3049;19017
UNIÃO PAULISTA;345;16,03217158;299;1865
CAMPINA DO MONTE ALEGRE;346;16,01452865;970;6057
CAJURU;347;15,97393248;4216;26393
SALES OLIVEIRA;348;15,95265878;1914;11998
GUAÍRA;349;15,93810916;6541;41040
SANTA ROSA DE VITERBO;350;15,92344784;4260;26753
SALESÓPOLIS;351;15,89960584;2743;17252
RIBEIRÃO PRETO;352;15,86401152;112924;711825
GLICÉRIO;353;15,82108097;764;4829
GUAPIARA;354;15,81791483;2693;17025
CRUZEIRO;355;15,81548001;13059;82571
IBIRAREMA;356;15,8143094;1240;7841
APARECIDA;357;15,81318226;5722;36185
CAMPINAS;358;15,79059674;191665;1213792
SANTO ANTÔNIO DO PINHAL;359;15,79024462;1078;6827
GUARANTÃ;360;15,76029963;1052;6675
LINDÓIA;361;15,74394464;1274;8092
BROTAS;362;15,64783244;3855;24636
TATUÍ;363;15,61719811;19204;122967
BOFETE;364;15,61110645;1861;11921
RIBEIRÃO BONITO;365;15,59515753;2074;13299
RUBIÁCEA;366;15,59139785;493;3162
PILAR DO SUL;367;15,58737501;4583;29402
ICÉM;368;15,58285164;1294;8304
NOVA GRANADA;369;15,57471529;3378;21689
ITAPURA;370;15,57261159;771;4951
PRAIA GRANDE;371;15,5710378;51516;330845
APIAÍ;372;15,55353752;3768;24226
JACAREÍ;373;15,54524756;36596;235416
CAIUÁ;374;15,53985873;924;5946
PIRACICABA;375;15,53927298;63284;407252
DOIS CÓRREGOS;376;15,53867403;4275;27512
GUATAPARÁ;377;15,52730575;1197;7709
ANALÂNDIA;378;15,5261076;785;5056
GAVIÃO PEIXOTO;379;15,43094496;743;4815
PATROCÍNIO PAULISTA;380;15,42513676;2284;14807
BOCAINA;381;15,39511725;1917;12452
TAUBATÉ;382;15,36700061;48854;317915
SANTA BRANCA;383;15,36649391;2283;14857
MINEIROS DO TIETÊ;384;15,36325775;1992;12966
GUARAREMA;385;15,34377489;4624;30136
SANTO ANTÔNIO DO ARACANGUÁ;386;15,32838109;1300;8481
PARAGUAÇU PAULISTA;387;15,32702144;7042;45945
VINHEDO;388;15,32249005;12275;80111
PIRACAIA;389;15,297502;4201;27462
SARAPUÍ;390;15,28392685;1588;10390
QUATÁ;391;15,27797326;2171;14210
PEDRO DE TOLEDO;392;15,27011645;1744;11421
ITAPETININGA;393;15,2610466;25261;165526
IPAUSSU;394;15,25648683;2299;15069
SÃO MANUEL;395;15,21776135;6258;41123
SUZANÁPOLIS;396;15,19681116;610;4014
BARBOSA;397;15,17139797;1133;7468
QUADRA;398;15,1530877;584;3854
TEJUPÁ;399;15,11912714;679;4491
RINCÃO;400;15,11283759;1634;10812
PIRAJUÍ;401;15,09389945;3882;25719
PROMISSÃO;402;15,09258352;6162;40828
NAZARÉ PAULISTA;403;15,07647877;2819;18698
LORENA;404;15,06647966;13428;89125
SÃO JOAQUIM DA BARRA;405;15,06527265;7882;52319
MATÃO;406;15,0646928;12598;83626
IBITINGA;407;15,05115512;9121;60600
LUPÉRCIO;408;15,03481288;691;4596
COROADOS;409;15,02692119;921;6129
PIEDADE;410;15,02646646;8346;55542
PRESIDENTE EPITÁCIO;411;15,00146433;6659;44389
MIRACATU;412;14,99261824;2945;19643
MAIRINQUE;413;14,98703653;7110;47441
PANORAMA;414;14,94136931;2370;15862
GASTÃO VIDIGAL;415;14,93827161;726;4860
ANGATUBA;416;14,92994231;3804;25479
PEREIRAS;417;14,92077967;1309;8773
RIBEIRÃO PIRES;418;14,91555183;18519;124159
TACIBA;419;14,91546848;944;6329
PEDREIRA;420;14,86288509;7203;48463
FLÓRIDA PAULISTA;421;14,83434753;2194;14790
BRODOWSKI;422;14,83166515;3749;25277
ORLÂNDIA;423;14,7993688;6565;44360
GUARACI;424;14,79578276;1670;11287
MACATUBA;425;14,7496224;2539;17214
IBIÚNA;426;14,72967702;11707;79479
SALTO DE PIRAPORA;427;14,72307021;6752;45860
FRANCA;428;14,70521297;52336;355901
ALAMBARI;429;14,68428781;900;6129
GETULINA;430;14,67633441;1680;11447
SÃO JOSÉ DOS CAMPOS;431;14,65610213;106951;729737
MOGI GUAÇU;432;14,64128652;22406;153033
CRISTAIS PAULISTA;433;14,63638449;1276;8718
HERCULÂNDIA;434;14,63287443;1403;9588
SANTÓPOLIS DO AGUAPEÍ;435;14,61490554;704;4817
CAÇAPAVA;436;14,60039151;13873;95018
IGARAPAVA;437;14,59789639;4469;30614
SÃO BERNARDO DO CAMPO;438;14,58726819;123187;844483
TREMEMBÉ;439;14,57643459;6955;47714
ITU;440;14,5749795;25589;175568
MIGUELÓPOLIS;441;14,57392082;3258;22355
GUAPIAÇU;442;14,52583238;3163;21775
VALINHOS;443;14,52328329;19056;131210
BOREBI;444;14,49869549;389;2683
JÚLIO MESQUITA;445;14,47916667;695;4800
ANHEMBI;446;14,45959818;986;6819
PEDREGULHO;447;14,45482125;2430;16811
SALTO;448;14,42673883;17274;119736
EUCLIDES DA CUNHA PAULISTA;449;14,40214477;1343;9325
GUZOLÂNDIA;450;14,39608065;764;5307
TIETÊ;451;14,3754263;6112;42517
MOMBUCA;452;14,36716078;504;3508
RIBEIRÃO GRANDE;453;14,29873682;1098;7679
ITAPUÍ;454;14,29278292;2022;14147
SÃO ROQUE;455;14,2841625;13150;92060
LENÇÓIS PAULISTA;456;14,24554283;9828;68990
MORUNGABA;457;14,22973659;1961;13781
