Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512506;Interior;Coroados;450;12;;;
3512605;Interior;Coronel Macedo;294;16;;;
3512704;Interior;Corumbataí;317;7;;;
3512803;Interior;Cosmópolis;5293;112;;;
3512902;Interior;Cosmorama;541;28;;;
3513009;RMSP (exceto capital);Cotia;9786;403;;;
3513108;Interior;Cravinhos;1251;69;;;
3513207;Interior;Cristais Paulista;616;5;;;
3513306;Interior;Cruzália;107;3;;;
3513405;Interior;Cruzeiro;3980;50;;;
3513504;Interior;Cubatão;10907;348;;;
3513603;Interior;Cunha;600;5;;;
3513702;Interior;Descalvado;2419;44;;;
3513801;RMSP (exceto capital);Diadema;19865;839;;;
3513850;Interior;Dirce Reis;97;3;;;
3513900;Interior;Divinolândia;888;36;;;
3514007;Interior;Dobrada;401;3;;;
3514106;Interior;Dois Córregos;1220;33;;;
3514205;Interior;Dolcinópolis;142;5;;;
3514304;Interior;Dourado;414;10;;;
3514403;Interior;Dracena;4139;192;;;
3514502;Interior;Duartina;571;15;;;
3514601;Interior;Dumont;979;13;;;
3514700;Interior;Echaporã;382;14;;;
3514809;Interior;Eldorado;1032;15;;;
3514908;Interior;Elias Fausto;987;25;;;
3514924;Interior;Elisiário;317;4;;;
3514957;Interior;Embaúba;83;4;;;
3515004;RMSP (exceto capital);Embu das Artes;7830;321;;;
3515103;RMSP (exceto capital);Embu-Guaçu;3707;131;;;
3515129;Interior;Emilianópolis;217;4;;;
3515152;Interior;Engenheiro Coelho;1932;36;;;
3515186;Interior;Espírito Santo do Pinhal;3485;77;;;
3515194;Interior;Espírito Santo do Turvo;210;3;;;
3515202;Interior;Estrela d'Oeste;975;21;;;
3515301;Interior;Estrela do Norte;229;3;;;
3515350;Interior;Euclides da Cunha Paulista;258;7;;;
3515400;Interior;Fartura;1007;21;;;
3515509;Interior;Fernandópolis;7554;181;;;
3515608;Interior;Fernando Prestes;504;5;;;
3515657;Interior;Fernão;131;0;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;7512;315;;;
3515806;Interior;Flora Rica;109;4;;;
3515905;Interior;Floreal;130;3;;;
3516002;Interior;Flórida Paulista;895;19;;;
3516101;Interior;Florínea;126;4;;;
3516200;Interior;Franca;20314;422;;;
3516309;RMSP (exceto capital);Francisco Morato;8384;311;;;
3516408;RMSP (exceto capital);Franco da Rocha;8842;288;;;
3516507;Interior;Gabriel Monteiro;119;4;;;
3516606;Interior;Gália;322;8;;;
3516705;Interior;Garça;2414;71;;;
3516804;Interior;Gastão Vidigal;137;14;;;
3516853;Interior;Gavião Peixoto;831;10;;;
3516903;Interior;General Salgado;792;24;;;
3517000;Interior;Getulina;748;13;;;
3517109;Interior;Glicério;276;13;;;
3517208;Interior;Guaiçara;1066;20;;;
3517307;Interior;Guaimbê;346;7;;;
