Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3553104;Interior;Taiaçu;272;10;;;
3553203;Interior;Taiúva;666;10;;;
3553302;Interior;Tambaú;1778;31;;;
3553401;Interior;Tanabi;3049;71;;;
3553500;Interior;Tapiraí;330;6;;;
3553609;Interior;Tapiratiba;906;12;;;
3553658;Interior;Taquaral;233;5;;;
3553708;Interior;Taquaritinga;3452;121;;;
3553807;Interior;Taquarituba;2016;38;;;
3553856;Interior;Taquarivaí;215;4;;;
3553906;Interior;Tarabai;472;15;;;
3553955;Interior;Tarumã;965;20;;;
3554003;Interior;Tatuí;5155;266;;;
3554102;Interior;Taubaté;18465;250;;;
3554201;Interior;Tejupá;122;2;;;
3554300;Interior;Teodoro Sampaio;1327;24;;;
3554409;Interior;Terra Roxa;582;13;;;
3554508;Interior;Tietê;2199;42;;;
3554607;Interior;Timburi;92;3;;;
3554656;Interior;Torre de Pedra;68;6;;;
3554706;Interior;Torrinha;772;12;;;
3554755;Interior;Trabiju;66;1;;;
3554805;Interior;Tremembé;1743;10;;;
3554904;Interior;Três Fronteiras;460;20;;;
3554953;Interior;Tuiuti;130;1;;;
3555000;Interior;Tupã;3369;124;;;
3555109;Interior;Tupi Paulista;1286;40;;;
3555208;Interior;Turiúba;133;2;;;
3555307;Interior;Turmalina;132;4;;;
3555356;Interior;Ubarana;560;9;;;
3555406;Interior;Ubatuba;5264;91;;;
3555505;Interior;Ubirajara;217;2;;;
3555604;Interior;Uchoa;947;21;;;
3555703;Interior;União Paulista;113;4;;;
3555802;Interior;Urânia;925;29;;;
3555901;Interior;Uru;126;3;;;
3556008;Interior;Urupês;592;26;;;
3556107;Interior;Valentim Gentil;1431;39;;;
3556206;Interior;Valinhos;9424;271;;;
3556305;Interior;Valparaíso;1655;44;;;
3556354;Interior;Vargem;148;3;;;
3556404;Interior;Vargem Grande do Sul;1974;40;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;1677;62;;;
3556503;Interior;Várzea Paulista;4875;145;;;
3556602;Interior;Vera Cruz;419;20;;;
3556701;Interior;Vinhedo;6122;113;;;
3556800;Interior;Viradouro;1354;31;;;
3556909;Interior;Vista Alegre do Alto;625;8;;;
3556958;Interior;Vitória Brasil;162;4;;;
3557006;Interior;Votorantim;5950;248;;;
3557105;Interior;Votuporanga;11034;296;;;
3557154;Interior;Zacarias;225;5;;;
3557204;Interior;Chavantes;522;19;;;
3557303;Interior;Estiva Gerbi;535;21;;;
;;Ignorado;580;0;;;
;;;;;;;
;;;;;;;
