Item,Price (NZD)
Cookware pots and pans set,177
Dishes,41
Dishwasher,350
Electric shower,95
"Forks, knifes and spoons",35
Fridge,700
Induction cooktop cooker,600
Kitchen cabinet,280
Mattress base,240
Microwave,180
Washing machine,450
