Item,Price (NZD)
Apple vinegar,9
Aubergine,6
Bananas,3
Bean sprouts,2
Carrot (4 units),10
Ghee,12
Lemon (4 units),24
Lettuce,5
Noodle,2
Olives,5
Sachets of mint tea (3 units),9
Salt,2
Spinach (2 units),6
Strawberries,4
Tomatoes (8 units),22
